order	original_x	original_y	origin_x	origin_y	new_x	new_y
1	-299.58	-375.35	777.61	-201.25	-1077.19	-174.1
2	-299.58	-132.02	777.61	-201.25	-1077.19	69.23
3	603.29	-132.02	777.61	-201.25	-174.32	69.23
4	603.29	-127.32	777.61	-201.25	-174.32	73.93
5	961.2	-127.32	777.61	-201.25	183.59	73.93
6	961.2	-315.98	777.61	-201.25	183.59	-114.73
7	953.71	-315.98	777.61	-201.25	176.1	-114.73
8	953.71	-324.47	777.61	-201.25	176.1	-123.22
9	961.2	-324.47	777.61	-201.25	183.59	-123.22
10	961.2	-397.86	777.61	-201.25	183.59	-196.61
11	953.71	-397.86	777.61	-201.25	176.1	-196.61
12	953.71	-407.85	777.61	-201.25	176.1	-206.6
13	967.69	-407.85	777.61	-201.25	190.08	-206.6
14	967.69	-437.77	777.61	-201.25	190.08	-236.52
15	795.83	-437.77	777.61	-201.25	18.22	-236.52
16	782.65	-448.56	777.61	-201.25	5.04	-247.31
17	782.65	-613.63	777.61	-201.25	5.04	-412.38
18	585.92	-613.63	777.61	-201.25	-191.69	-412.38
19	525.4	-664.68	777.61	-201.25	-252.21	-463.43
20	270.75	-664.68	777.61	-201.25	-506.86	-463.43
21	270.75	-429.78	777.61	-201.25	-506.86	-228.53
22	159.42	-429.78	777.61	-201.25	-618.19	-228.53
23	159.42	-664.68	777.61	-201.25	-618.19	-463.43
24	-29.75	-664.68	777.61	-201.25	-807.36	-463.43
25	-29.75	-461.53	777.61	-201.25	-807.36	-260.28
26	-207.08	-461.53	777.61	-201.25	-984.69	-260.28
27	-207.08	-664.68	777.61	-201.25	-984.69	-463.43
28	-378.42	-664.68	777.61	-201.25	-1156.03	-463.43
29	-378.42	-474.2	777.61	-201.25	-1156.03	-272.95
30	-471.75	-474.2	777.61	-201.25	-1249.36	-272.95
31	-475.75	-664.68	777.61	-201.25	-1253.36	-463.43
32	-483.75	-664.68	777.61	-201.25	-1261.36	-463.43
33	-483.75	-471.75	777.61	-201.25	-1261.36	-270.5
34	-565.75	-471.75	777.61	-201.25	-1343.36	-270.5
35	-565.75	-664.75	777.61	-201.25	-1343.36	-463.5
36	-588.75	-664.75	777.61	-201.25	-1366.36	-463.5
37	-588.75	-460.75	777.61	-201.25	-1366.36	-259.5
38	-540.36	-420.14	777.61	-201.25	-1317.97	-218.89
39	-471.75	-420.86	777.61	-201.25	-1249.36	-219.61
40	467.37	-424.93	777.61	-201.25	-310.24	-223.68
41	467.37	-398.95	777.61	-201.25	-310.24	-197.7
42	459.38	-398.95	777.61	-201.25	-318.23	-197.7
43	459.38	-183.08	777.61	-201.25	-318.23	18.17
44	249.17	-183.11	777.61	-201.25	-528.44	18.14
45	249.17	-375.35	777.61	-201.25	-528.44	-174.1
46	150.3	-375.35	777.61	-201.25	-627.31	-174.1
47	150.3	-182.61	777.61	-201.25	-627.31	18.64
48	44.45	-182.61	777.61	-201.25	-733.16	18.64
49	44.45	-375.35	777.61	-201.25	-733.16	-174.1
50	-17.96	-375.35	777.61	-201.25	-795.57	-174.1
51	-17.96	-184.61	777.61	-201.25	-795.57	16.64
52	-122.45	-184.61	777.61	-201.25	-900.06	16.64
53	-122.45	-375.35	777.61	-201.25	-900.06	-174.1
54	-192.22	-375.35	777.61	-201.25	-969.83	-174.1
55	-192.22	-182.66	777.61	-201.25	-969.83	18.59
56	-292.15	-182.66	777.61	-201.25	-1069.76	18.59
57	-292.15	-375.35	777.61	-201.25	-1069.76	-174.1
58	NA	NA	NA	NA	NA	NA
59	722.69	-316.98	777.61	-201.25	-54.92	-115.73
60	722.69	-441.93	777.61	-201.25	-54.92	-240.68
61	645.87	-441.93	777.61	-201.25	-131.74	-240.68
62	645.87	-316.98	777.61	-201.25	-131.74	-115.73
